Genus,Size (µm),Color,Texture
Scutellospora_1,300—600,black,reticulate
Scutellospora_2,120—600,orange-brown,dull
Scutellospora_3,150—500,white,dull
Scutellospora_4,80—150,clear,oval
Scutellospora_5,80—130,clear,irregular
Scutellospora_6,120—200,grey-brown,smooth
Scutellospora_7,120—200,orange,smooth
Gigaspora_1,200—600,orange,smooth
Acaulospora_1,80—200,orange,smooth
Acaulospora_2,60—100,white,"pitted ""golfball"""
Acaulospora_3,100—150,white,deep pitted
Acaulospora_4,100—150,white,tinny pits
Acaulospora_5,60—90,white,smooth
Acaulospora_6,100—250,white,shaggy
Glomus_1,50—120,brown,"smooth, aggregated"
Glomus_2,60—150,white,rough
Glomus_3,70—150,orange-brown,"smooth, aggregated"
Glomus_4,40—120,Type A,"large, thick-walled "
