Site,Glomus caledonium,Glomus mosseae,Glomus constrictum,Glomus geosporum,Glomus etunicatum,Glomus occultum group (occultum and albidum),Glomus diaphanum,Glomus fasciculatum,Glomus clarum,Glomus intraradices,Glomus versiforme,Glomus aureum,Glomus invermaium,Glomus macrocarpum,Glomus badium,Glomus microcarpum,Glomus aggregatum,Glomus rubiforme,Glomus sinuosum,Gloms sp BR24 resemb. Melanosporum,Glomus heterosporum,Glomus mortonii,Glomus sp BR 12 resemb. Epigaeum,Glomus sp BR 18 resemb. Tortuosum,"Glomus ""hoi""",Glomus proliferum,Glomus ambisporum,Glomus claroideum,Glomus monosporum,Archaeospora trapppei,Ambispora fennica,Ambispora sp BR10 resemb. Appendicula,Pacispora dominikii,Entrophospora infrequens,Acaulospora paulinae,Acaulospora laevis,Acaulospora cavernata,Acaulospora longula,Acaulospora scrobiculata,Acaulospora thomii,Acaulospora polonica,Acaulospora sp BR 20 resemb. Rehmii,Acaulospora myriocarpa,Kuklospora colombiana,Scutellospora calospora,Scutellospora dipurpurescens,Scutellospora arenicola,Cetraspora armeniaca,Cetraspora pellucida,Racocetra castanea,Gigaspora margarita
Grassland PShg,0,0,2,1,8,13,8,5,1,5,19,73,72,21,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,4,0,12,0,0,17,0,0,3,0,0,0,0,2,0,14,9,0,5,0,0,3
Grassland PSg,0,1,0,1,10,58,26,25,21,2,28,101,18,102,0,0,0,0,0,0,2,1,6,2,6,0,0,0,0,5,1,0,0,1,110,33,4,15,3,3,0,2,0,6,7,0,0,6,2,0,0
Arable PSa,33,2,0,3,4,29,50,3,10,3,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,1,4,0,1,0,1,0,0,0,3,0,0,0,0,0,1
Grassland TSg,7,8,10,4,1,29,64,8,21,2,9,26,9,48,25,0,0,0,0,0,0,0,3,0,0,0,0,1,1,1,0,0,0,1,83,13,4,15,0,0,0,0,2,1,35,0,0,17,25,0,1
Arable TSa,30,1,0,2,6,11,75,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grassland GRhg,0,0,0,1,7,7,11,9,3,0,9,48,17,16,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,3,0,1,0,0,46,5,0,7,1,2,0,0,1,1,15,31,0,0,0,0,4
Grassland DGg1,2,2,10,13,12,92,87,3,4,7,22,440,162,107,183,1,0,0,0,0,0,0,5,0,0,0,11,0,0,11,1,0,0,3,304,21,0,12,0,8,0,0,0,0,25,0,0,27,46,0,12
Arable DGa1,37,35,2,4,6,25,35,2,6,19,2,7,11,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,1,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0
Grassland DGg2,0,8,7,40,12,42,69,9,1,5,155,270,67,42,0,0,0,0,0,0,0,0,15,0,0,5,0,0,0,10,0,0,0,1,41,1,8,0,0,0,5,0,0,0,11,0,2,12,12,0,0
Arable DGa2,48,24,1,7,18,29,55,1,3,3,13,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Grassland AGg,1,1,12,2,12,10,66,37,8,22,9,15,12,46,0,4,1,0,0,3,0,0,8,2,0,0,0,0,0,9,0,0,0,1,20,0,1,1,0,0,0,0,1,0,6,0,0,9,10,4,2
Arable AGa,9,10,0,2,9,12,49,0,7,25,0,4,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Grassland JLhg,0,45,205,120,74,71,2,31,2,1,38,124,16,29,75,11,2,36,297,0,64,0,0,0,0,0,0,0,0,9,0,0,3,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Arable JLha,4,120,39,36,26,52,4,4,0,0,8,6,16,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
Grassland JLg,0,14,166,51,13,32,9,28,4,3,7,311,11,38,61,1,3,73,175,35,48,3,0,0,0,0,0,0,0,0,0,4,1,9,0,1,0,2,0,2,0,0,0,0,0,0,0,0,4,0,0
Arable JLa,0,47,99,30,15,20,13,2,0,0,11,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
